id,state,location,mobile_orders,Catering,Pickup,Delivery,WiFi,Playground,breakfast_served,drive_thru,sandwich_price
619,fl,Southeastern University,No,No,No,No,No,No,Yes,No,
620,fl,Southside Blvd at the Avenues,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
621,fl,Southside Blvd at Tinseltown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
622,fl,Spring Hill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
623,fl,SR 16 & Inman Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
624,fl,St. Augustine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
625,fl,St. Cloud,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
626,fl,St. Johns Town Center,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.95
627,fl,St. Lucie West,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
628,fl,St. Pete Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
629,fl,Stanford Station Shopping Center,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.89
630,fl,Stuart,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
631,fl,Tampa International Airport-Airside A,No,No,No,No,No,No,Yes,No,
632,fl,Tampa International Airport-Main Terminal,No,No,No,No,No,No,Yes,No,
633,fl,Tampa Stadium,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
634,fl,Temple Terrace,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
635,fl,The Fountains of Miramar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.19
636,fl,The Gardens,Yes,Yes,Yes,Yes,No,No,Yes,No,5.39
637,fl,The Loop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
638,fl,The Mall at Millenia,Yes,Yes,Yes,Yes,Yes,No,No,No,5.25
639,fl,The Mall at Wellington Green,Yes,Yes,Yes,Yes,No,No,No,No,5.39
640,fl,The Ridge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
641,fl,The Standard In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.25
642,fl,The Villages,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.95
643,fl,Town Center at Boca Raton,Yes,Yes,Yes,Yes,No,No,No,No,5.39
644,fl,Treasure Coast Square,Yes,Yes,Yes,Yes,No,No,No,No,5.25
645,fl,Tuskawilla Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
646,fl,Tyndall Parkway,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.95
647,fl,Tyrone Boulevard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
648,fl,Tyrone Square Mall,Yes,Yes,Yes,No,No,No,No,No,5.25
649,fl,Universal Blvd,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
650,fl,University at Forsyth,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
651,fl,University at Rouse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
652,fl,University of Central Florida,No,No,No,No,Yes,No,Yes,No,
653,fl,University of Central Florida - RWC,No,No,No,No,No,No,Yes,No,
654,fl,University of Florida,No,No,No,No,No,No,Yes,No,
655,fl,University of Florida-Broward Complex,No,No,No,No,No,No,No,No,
656,fl,University of North Florida,No,No,No,No,No,No,Yes,No,
657,fl,University of South Florida,No,No,No,No,No,No,No,No,
658,fl,University of Tampa,No,No,No,No,No,No,No,No,
659,fl,University of West Florida,No,No,No,No,Yes,No,No,No,
660,fl,Uptown District,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
661,fl,UTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
662,fl,Vero Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
663,fl,Viera,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
664,fl,Vineland Pointe,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
